"","date","hits","geo","time","keyword","gprop","category"
"176",2019-05-17,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"177",2019-05-18,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"178",2019-05-19,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"179",2019-05-20,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"180",2019-05-21,3,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"181",2019-05-22,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"182",2019-05-23,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"183",2019-05-24,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"184",2019-05-25,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"185",2019-05-26,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"186",2019-05-27,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"187",2019-05-28,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"188",2019-05-29,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"189",2019-05-30,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"190",2019-05-31,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"191",2019-06-01,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"192",2019-06-02,5,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"193",2019-06-03,8,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"194",2019-06-04,4,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"195",2019-06-05,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"196",2019-06-06,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"197",2019-06-07,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"198",2019-06-08,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
